name,gender,distance_traveled,seconds_traveled,oa_avg_speed,tot_shots,tot_misses,oa_acc_score,medals,cup_points,n_of_races,ppr_score
BEAUDRY Sarah,female,73.89999999999999,14917.100000000002,4.95404602771316,140,26,0.8102758620689656,0.0,3.0,7,10.2
BECAERT Sylvie,female,526.0999999999999,108203.3,4.862143760864964,1000,174,0.8208055555555556,0.0,973.0,53,17.253521126760564
BECK Martina (GLAGOW),female,609.3499999999999,122618.8,4.969466346106795,1180,129,0.8684938271604938,12.0,2079.0,61,29.50632911392405
BEER Katja,female,322.1499999999999,66073.6,4.875623547074776,620,81,0.8443018867924529,3.0,744.0,32,19.92
BEER Romy,female,31.349999999999998,6300.400000000001,4.975874547647767,60,9,0.8139200000000001,0.0,41.0,3,13.952380952380953
BEILMANN Meril,female,10.6,2107.0,5.0308495491219745,20,4,0.808608695652174,0.0,0.0,1,13.263157894736842
BELCHENKO Yelizaveta,female,41.05,8048.0,5.100646123260438,80,7,0.824923076923077,0.0,10.0,4,11.909090909090908
BENDIKA Baiba,female,273.95000000000005,53084.200000000004,5.160669276357184,520,93,0.8155833333333333,0.0,196.0,26,10.181818181818182
BERGER Tora,female,808.3999999999996,158542.99999999997,5.098932150899124,1550,262,0.8261105527638191,19.0,2532.0,80,28.408163265306122
BESCOND Anais,female,726.4499999999999,138752.3,5.235588887535558,1395,247,0.8195967302452316,4.0,1512.0,70,20.045454545454547
BIELKINA Nadiia,female,42.099999999999994,8390.8,5.017400009534251,80,14,0.8114615384615386,0.0,5.0,4,11.681818181818182
BIKTASHEVA Leisan,female,10.6,1991.8,5.321819459785119,20,4,0.808608695652174,0.0,0.0,1,13.263157894736842
BIRKELAND Fanny Horn,female,267.54999999999995,53376.299999999996,5.012524285122797,510,121,0.7841684210526316,0.0,258.0,26,11.590909090909092
BLASHKO Darya,female,10.0,1913.7,5.225479437738413,20,0,0.8173043478260871,0.0,24.0,1,14.526315789473685
BLONDEAU Marion,female,21.05,4837.9,4.351061410942765,40,7,0.8103333333333335,0.0,11.0,2,13.15
BOBAK Paulina,female,199.00000000000003,42604.4,4.670879064134222,395,64,0.8227065868263473,0.0,40.0,20,7.684210526315789
BOGALIY Anna,female,473.5499999999999,95334.99999999997,4.967220852782295,900,157,0.8201194029850747,4.0,1214.0,50,21.558823529411764
BOILLEY Sophie,female,328.15000000000003,67654.2,4.850401009841223,620,121,0.8065660377358491,0.0,264.0,31,10.53061224489796
BOLLIET Marine,female,221.70000000000002,44417.399999999994,4.991287198260142,450,89,0.8055730337078653,0.0,169.0,23,10.268292682926829
BONDAR Iana,female,74.95,14808.599999999999,5.061248193617223,155,38,0.794890756302521,0.0,48.0,8,11.538461538461538
BONNEVIE-SVENDSEN Julie,female,117.35000000000001,23344.400000000005,5.026901526704477,220,49,0.7984242424242425,0.0,192.0,13,14.32258064516129
BOSC Laure,female,20.6,4481.2,4.596982950995269,40,4,0.8165833333333334,0.0,1.0,2,12.65
BOULYGINA Anna,female,139.0,28178.9,4.932768844773927,275,67,0.7887552447552448,1.0,229.0,14,15.03125
BRAISAZ Justine,female,351.15000000000003,64867.299999999996,5.4133592734706095,660,141,0.7954181818181818,2.0,742.0,33,19.49019607843137
BRANKOVIC-LIKOZAR Tadeja,female,493.00000000000006,101844.30000000003,4.840722553937725,925,224,0.7743296703296704,0.0,702.0,49,14.238805970149254
BRICE Anzela,female,10.75,2426.1,4.430979761757554,55,10,0.8100202020202021,0.0,0.0,3,12.0
BRORSSON Mona,female,385.0,75083.0,5.127658724345058,740,100,0.8440338983050848,0.0,482.0,37,13.345454545454546
BROUNEUS Kristina,female,31.499999999999996,6719.4,4.687918564157513,90,19,0.8055849056603774,0.0,0.0,5,10.956521739130435
BRUN-LIE Thekla,female,72.7,14331.599999999999,5.0727064668285475,140,18,0.8240689655172414,0.0,42.0,7,11.76
BRUNET Marie Laure,female,381.5499999999999,75445.5,5.057293012837079,740,77,0.8635254237288136,3.0,980.0,38,22.0
BUCHHOLZ Sabrina,female,264.54999999999995,55253.4,4.787940651616008,500,97,0.807404255319149,0.0,371.0,27,13.844444444444445
BURDYGA Natalya,female,316.5,63502.49999999999,4.984055745836779,600,110,0.8134230769230769,0.0,380.0,33,12.392156862745098
BURLET Delphyne,female,62.099999999999994,13051.0,4.758256072331622,120,14,0.8249285714285715,0.0,127.0,7,15.16
CADURISCH Irene,female,139.59999999999997,27580.9,5.061473701003229,260,64,0.7885142857142857,0.0,40.0,13,9.419354838709678
CARRARA Michela,female,10.9,2408.3,4.526014200888593,20,6,0.8042608695652175,0.0,0.0,1,13.263157894736842
CARRAZ-COLLIN Julie,female,235.45,50069.3,4.702482359449802,455,109,0.7843128491620112,0.0,134.0,24,9.19047619047619
CESNEKOVA Irena,female,282.9,60747.9,4.656951104482624,540,86,0.8264897959183674,0.0,262.0,30,10.708333333333334
CHARVATOVA Lucie,female,217.10000000000002,40559.299999999996,5.352656480757806,400,114,0.7642380952380953,0.0,202.0,20,11.947368421052632
CHENG Xiaoni,female,21.65,4859.799999999999,4.454915840158032,40,11,0.802,0.0,0.0,2,12.6
CHERNOUSOVA Svetlana,female,211.09999999999994,42413.99999999999,4.977130192860847,400,74,0.8118571428571429,0.0,482.0,20,19.31578947368421
CHEVALIER Anais,female,322.00000000000006,61745.799999999996,5.214929598450422,640,85,0.8434814814814815,2.0,622.0,33,17.137254901960784
CHEVALIER Chloe,female,73.44999999999999,14401.400000000001,5.100198591803573,140,23,0.815448275862069,0.0,25.0,7,11.08
CHRAPANOVA Martina,female,31.65,6460.1,4.8993049643194375,85,19,0.8037333333333334,0.0,0.0,5,10.956521739130435
CHU Yuanmeng,female,41.650000000000006,8405.1,4.95532474331061,80,11,0.8172307692307693,0.0,9.0,4,11.863636363636363
CIARAMIDARO Maryke,female,54.05,12353.7,4.375207427734201,100,27,0.7943703703703704,0.0,0.0,6,10.5
CIURINA Valentina,female,33.0,7761.8,4.251591125769796,75,23,0.7921553398058253,0.0,0.0,7,10.08
COLOMBO Caroline,female,63.45,11790.4,5.381496810964853,120,23,0.8088571428571429,0.0,37.0,6,12.041666666666666
COMPTON Caitlin,female,0.0,0.0,,0,0,0.809,0.0,0.0,1,13.263157894736842
COOK Annelies,female,131.1,26909.4,4.871903498405762,310,97,0.7586133333333334,0.0,34.0,16,8.411764705882353
CRAWFORD Rosanna,female,402.3499999999999,78559.0,5.121628330299519,790,168,0.795089430894309,0.0,432.0,41,11.59322033898305
CYL Agnieszka (GRZYBEK),female,251.24999999999997,52030.8,4.828870592033948,495,80,0.8245561497326204,0.0,304.0,28,12.08695652173913
DAFOVSKA Ekaterina,female,305.75000000000006,61099.6,5.004124413253115,580,105,0.8146666666666667,4.0,843.0,33,21.470588235294116
DAHLMEIER Laura,female,389.44999999999993,71872.49999999999,5.418623256461094,760,63,0.8774666666666667,18.0,1613.0,38,33.30357142857143
DAVIDOVA Marketa,female,162.0,30479.799999999996,5.314995505219851,300,80,0.7783243243243244,0.0,182.0,15,13.151515151515152
DEIGENTESCH Marion,female,10.6,2024.3,5.23637800721237,20,4,0.808608695652174,0.0,0.0,1,13.263157894736842
DENISOVA Uliana,female,75.1,15570.199999999999,4.823316335050289,140,34,0.7964827586206897,0.0,86.0,7,13.52
DICKSON Emily,female,10.6,2062.2,5.140141596353409,20,4,0.808608695652174,0.0,0.0,1,13.263157894736842
DIMITROVA Niya,female,0.0,0.0,,0,0,0.809,0.0,0.0,1,13.263157894736842
DISL Uschi,female,407.90000000000003,78673.79999999999,5.184699353533198,760,186,0.7749666666666667,9.0,1375.0,39,28.54385964912281
DOMEIJ Sofia,female,219.2,45924.60000000001,4.773041028120004,460,156,0.7332888888888889,0.0,67.0,24,7.595238095238095
DOMRACHEVA Darya,female,735.6999999999998,138486.0,5.312450355992662,1420,248,0.821483870967742,24.0,2694.0,74,32.02173913043478
DONG Xue,female,289.95,59443.80000000001,4.87771643131832,550,137,0.7767272727272727,0.0,283.0,28,11.630434782608695
DORIN HABERT Marie,female,687.15,131801.40000000002,5.213525804733484,1320,181,0.8494090909090909,12.0,2051.0,66,27.416666666666668
DOSKOCILOVA Radka,female,10.9,2357.1,4.624326502906114,40,11,0.802,0.0,0.0,3,12.0
DREISSIGACKER Emily,female,21.2,4308.9,4.920049200492005,40,8,0.80825,0.0,0.0,2,12.6
DREISSIGACKER Hannah,female,75.7,15081.2,5.019494469936079,140,38,0.7895862068965518,0.0,27.0,7,11.16
DUBOK Elena,female,20.9,4668.1,4.477196289711017,50,9,0.810122448979592,0.0,0.0,3,12.0
DUERINGER Ramona,female,10.6,2153.2,4.922905443061491,20,4,0.808608695652174,0.0,12.0,3,12.571428571428571
DUNKLEE Susan,female,564.7999999999998,107395.39999999998,5.259070686453982,1060,232,0.7893066666666667,1.0,978.0,53,17.323943661971832
DUSSER Marine,female,10.3,2298.8,4.480598573168609,20,2,0.8129565217391305,0.0,0.0,1,13.263157894736842
DZHIMA Yuliia,female,437.09999999999997,83809.7,5.2153867631073725,860,121,0.8422769230769231,1.0,897.0,44,18.532258064516128
DÖLL Juliane,female,83.14999999999999,17435.9,4.76889635751524,160,21,0.8249333333333334,0.0,118.0,9,13.703703703703704
ECKHOFF Tiril,female,576.8999999999999,106910.60000000002,5.3960972999870895,1095,256,0.7784755700325733,5.0,1385.0,55,22.424657534246574
EDER Mari (LAUKKANEN),female,570.0500000000001,113352.80000000002,5.028989138336239,1125,292,0.7597188498402556,1.0,373.0,58,8.223684210526315
EGAN Clare,female,233.35,44963.49999999999,5.189765031636773,440,89,0.8033636363636364,0.0,248.0,22,12.5
EIKELAND Liv Kjersti,female,286.94999999999993,60726.399999999994,4.725292459292827,540,113,0.7989387755102041,0.0,157.0,29,8.702127659574469
EINFALT Lea,female,10.45,1933.4,5.4049860349643115,20,3,0.8107826086956522,0.0,3.0,1,13.421052631578947
EKHOLM Helena (JONSSON),female,454.7000000000001,90623.59999999998,5.017456821401933,880,98,0.8620909090909091,7.0,1380.0,44,26.322580645161292
ERASMUS Sonya,female,0.0,0.0,,0,0,0.809,0.0,0.0,1,13.263157894736842
ERTL Barbara,female,41.2,9100.0,4.527472527472527,80,8,0.8230000000000001,0.0,0.0,4,11.454545454545455
ERZEN Anja,female,153.65,31796.699999999997,4.832262467488765,280,91,0.7568888888888889,0.0,8.0,14,8.125
FALTUSOVA Lenka,female,134.5,29647.2,4.536684745945654,270,32,0.8365633802816902,0.0,59.0,15,9.424242424242424
FENNE Hilde,female,140.35000000000002,26792.500000000004,5.238406270411496,260,69,0.7813714285714286,0.0,114.0,13,11.806451612903226
FIALKOVA Ivona,female,194.55000000000004,37713.8,5.15858916364832,380,106,0.7682439024390244,0.0,68.0,19,8.64864864864865
FIALKOVA Paulina,female,326.9500000000001,61913.5,5.280754601177451,630,118,0.8111775700934579,3.0,597.0,32,16.98
FIANDINO Roberta,female,83.44999999999999,17814.699999999997,4.6843337243961445,190,33,0.8142222222222223,0.0,6.0,10,9.214285714285714
FILIMONOVA Lyubov,female,21.65,4809.9,4.501133079689807,40,11,0.802,0.0,0.0,2,12.6
FILIPOVA Pavlina,female,422.7999999999999,87299.69999999998,4.843086516906702,800,152,0.8096451612903226,0.0,632.0,44,14.258064516129032
FLATLAND Ann Kristin,female,451.15,92463.30000000002,4.879233166023708,860,141,0.8268923076923077,1.0,739.0,46,15.484375
FORIKA Reka (FERENCZ),female,82.39999999999999,17167.7,4.7997110853521425,190,26,0.8253333333333334,0.0,18.0,10,9.642857142857142
FORSBERG Magdalena,female,82.39999999999999,15420.2,5.343640160309204,160,16,0.8332666666666667,7.0,446.0,8,26.846153846153847
FOWLER Emma,female,43.15,10041.9,4.2969955884842514,90,21,0.8018113207547171,0.0,0.0,5,10.956521739130435
FROLINA Anna (BOULYGINA),female,253.65000000000003,49037.09999999999,5.172614204347322,480,91,0.8097391304347826,0.0,338.0,24,14.047619047619047
GAIM Grete,female,10.75,2365.2,4.545070184339591,20,5,0.8064347826086957,0.0,0.0,1,13.263157894736842
GASPARIN Aita,female,219.00000000000003,43313.6,5.05614864615271,425,62,0.8311676300578035,0.0,89.0,22,8.525
GASPARIN Elisa,female,369.0500000000001,72479.2,5.091805649068976,700,127,0.8148771929824562,0.0,338.0,35,11.132075471698114
GASPARIN Selina,female,674.4000000000001,130155.60000000002,5.181490462185262,1275,300,0.776069970845481,2.0,899.0,64,14.036585365853659
GEREKOVA Jana,female,554.1999999999999,110370.8,5.02125562195798,1055,233,0.787933110367893,0.0,603.0,55,11.712328767123287
GHILENKO Alla,female,21.65,4640.2,4.665747166070428,40,11,0.802,0.0,0.0,2,12.6
GLAZERE Liga,female,0.0,0.0,,5,3,0.8044044943820226,0.0,0.0,1,13.263157894736842
GLAZYRINA Ekaterina,female,145.55,28605.699999999997,5.088146767951843,280,37,0.8318888888888889,0.0,295.0,15,16.575757575757574
GODBOUT Claude,female,21.95,5217.0,4.207398888249952,55,17,0.795878787878788,0.0,0.0,3,12.0
GONTIER Nicole,female,281.45,54624.8,5.1524216106969725,520,143,0.7635000000000001,0.0,214.0,26,10.590909090909092
GOROHOVA Elena,female,0.0,0.0,,0,0,0.809,0.0,0.0,1,13.263157894736842
GRANDE Ann Helen,female,20.3,4460.6,4.550957270322378,40,2,0.8207500000000001,0.0,12.0,2,13.2
GRANROTH Sara,female,22.25,4621.700000000001,4.814245840275222,55,19,0.7918383838383839,0.0,0.0,3,12.0
GRASIC Andreja,female,126.89999999999999,26046.100000000002,4.872130568492019,240,46,0.8087647058823529,0.0,222.0,13,15.290322580645162
GREGORIN Teja,female,881.3999999999999,176176.79999999996,5.002928875992753,1680,276,0.8301698113207547,1.0,1652.0,85,18.485436893203882
GROS Christelle,female,307.7000000000001,64495.5,4.7708754874371095,580,118,0.801921568627451,0.0,424.0,30,14.083333333333334
GRUBBEN Linda,female,51.199999999999996,10173.800000000001,5.032534549529181,100,8,0.8295555555555556,4.0,271.0,5,22.73913043478261
GRZYWA Magdalena,female,116.0,26678.000000000004,4.3481520353849605,235,41,0.8147555555555556,0.0,31.0,12,9.433333333333334
GURIEVA Ludmila,female,10.9,2442.6,4.4624580365184645,20,6,0.8042608695652175,0.0,0.0,1,13.263157894736842
GUZIK Krystyna (PALKA),female,763.0000000000001,153689.2,4.96456484905901,1460,220,0.839978947368421,2.0,1120.0,78,14.291666666666666
GWIZDON Magdalena,female,1157.3499999999997,233292.40000000002,4.960941719490218,2180,449,0.7965496183206107,1.0,1544.0,112,13.815384615384616
GÖSSNER Miriam,female,413.15000000000003,79318.79999999999,5.208727313070799,760,221,0.7458,2.0,671.0,39,16.19298245614035
HAECKI Lena,female,333.1,62757.19999999998,5.307757516269051,620,154,0.775433962264151,1.0,451.0,31,14.346938775510203
HAKOVA Eva,female,21.05,4411.4,4.771727796164483,40,7,0.8103333333333335,0.0,16.0,2,13.4
HALINAROVA Martina,female,240.65000000000003,51260.600000000006,4.694638767396402,485,83,0.8194162162162163,0.0,263.0,25,11.976744186046512
HALLER Katja,female,260.95000000000005,55760.70000000001,4.679819299255569,625,121,0.8074741784037559,0.0,212.0,35,8.754716981132075
HAMMERSCHMIDT Maren,female,252.74999999999994,48312.5,5.231565329883569,480,85,0.8162608695652175,1.0,440.0,24,16.476190476190474
HANNI Sirli,female,32.4,7194.700000000001,4.503314940164287,75,19,0.7999223300970875,0.0,0.0,4,11.454545454545455
HARTWEGER Fabienne,female,21.8,4241.6,5.1395699735948694,40,12,0.7999166666666667,0.0,0.0,2,12.6
HASILLOVA Zuzana,female,43.300000000000004,9706.6,4.460882286279439,80,22,0.7960769230769231,0.0,3.0,6,10.625
HAUSER Lisa Theresa,female,435.15000000000003,82462.5,5.276944065484312,840,101,0.8554375000000001,0.0,784.0,42,17.266666666666666
HAUSWALD Simone (DENKINGER),female,476.85,94791.10000000002,5.030535567157675,910,185,0.8007111111111112,4.0,1243.0,47,23.0
HENKEL Andrea,female,946.4499999999999,184938.90000000002,5.117636149020027,1820,243,0.8552920353982301,16.0,3066.0,92,30.163636363636364
HENNECKE Carolin,female,20.75,4131.299999999999,5.0226321012756285,40,5,0.8145000000000001,0.0,16.0,2,13.4
HENNESEID EIE Kari,female,150.8,32277.000000000004,4.672057502246181,310,82,0.7786133333333334,0.0,24.0,16,8.117647058823529
HERRMANN Denise,female,254.55000000000004,46383.9,5.487895584459263,480,97,0.8032173913043479,5.0,680.0,24,22.19047619047619
HETTICH Janina,female,32.25,6365.4,5.06645301159393,60,15,0.8019200000000001,0.0,19.0,3,12.904761904761905
HILDEBRAND Franziska,female,613.7,117921.59999999999,5.2043052333075535,1200,161,0.8505853658536585,2.0,1313.0,60,20.064102564102566
HINZ Vanessa,female,396.65000000000003,75722.7,5.238191453817681,760,111,0.8374666666666667,0.0,778.0,38,18.392857142857142
HJERT Susanne,female,0.0,0.0,,5,2,0.8066516853932585,0.0,0.0,1,13.263157894736842
HOFFMANN Susanne,female,53.0,10895.800000000001,4.864259622973989,100,20,0.8073333333333333,0.0,0.0,5,10.956521739130435
HOJNISZ-STAREGA Monika,female,472.05000000000007,91485.60000000002,5.15982843201553,900,147,0.8275820895522389,0.0,625.0,45,13.920634920634921
HOLANTI Katja,female,63.75,12914.900000000001,4.9361590101355795,130,30,0.7999298245614036,0.0,88.0,8,13.076923076923077
HOLMA Johanna,female,22.25,4934.1,4.509434344662654,70,29,0.7783529411764707,0.0,3.0,5,11.08695652173913
HOLOPAINEN Maija,female,21.05,4832.7,4.355743166345935,40,7,0.8103333333333335,0.0,0.0,2,12.6
HOLUBCOVA Katerina,female,272.15000000000003,57301.100000000006,4.749472523215087,530,85,0.8257319587628866,1.0,494.0,28,16.217391304347824
HORCHLER Karolin,female,185.70000000000002,36622.5,5.0706532869137835,360,38,0.84745,0.0,225.0,18,13.25
HORCHLER Nadine,female,208.24999999999997,41412.299999999996,5.028699202893826,400,55,0.8344761904761905,0.0,265.0,20,13.605263157894736
HORN Fanny Welle-Strand,female,150.2,28816.500000000007,5.212291569066332,280,68,0.7888333333333334,0.0,184.0,14,13.625
HOU Yuxia,female,212.20000000000002,43942.4,4.82904893678998,380,148,0.7170243902439025,0.0,176.0,20,11.263157894736842
HUBER Marion Roenning,female,10.9,2059.5,5.292546734644331,20,6,0.8042608695652175,0.0,0.0,1,13.263157894736842
HÖGBERG Elisabeth,female,345.3,70749.50000000001,4.880599862896557,660,102,0.8308727272727273,0.0,215.0,33,9.156862745098039
IAKUSHOVA Olga (GALICH),female,31.65,6527.5,4.848716966679433,60,11,0.8099200000000001,0.0,4.0,3,12.19047619047619
ILCHENKO Kristina,female,22.1,4344.6,5.086774386594853,40,14,0.7957500000000001,0.0,0.0,2,12.6
IMRIE Megan,female,150.2,30631.100000000002,4.903513096166967,295,71,0.789061224489796,0.0,36.0,16,8.470588235294118
INGSTADBJOERG Anne,female,138.39999999999998,29499.6,4.691589038495437,260,56,0.7999428571428572,0.0,89.0,13,11.0
INNERHOFER Katharina,female,291.15,56701.299999999996,5.134802905753484,540,141,0.7703673469387755,0.0,158.0,27,9.11111111111111
IOURIEVA Ekaterina,female,177.65,35855.5,4.954609474139254,340,51,0.826871794871795,2.0,450.0,18,19.5
ISHMOURATOVA Svetlana,female,314.25,63619.49999999999,4.939523259378022,600,95,0.8278461538461539,3.0,919.0,31,23.897959183673468
JACQUIN Pauline,female,105.24999999999999,22999.6,4.576166542026818,200,35,0.8140000000000001,0.0,59.0,10,11.107142857142858
JASICOVA Martina,female,41.95,8563.9,4.898469155408167,80,13,0.8133846153846155,0.0,69.0,5,13.956521739130435
JIA Yuping,female,0.0,0.0,,15,6,0.8021098901098902,0.0,0.0,2,12.6
JISLOVA Jessica,female,116.74999999999999,22658.1,5.152682705081185,220,45,0.8044848484848486,0.0,46.0,11,10.275862068965518
JOHANIDESOVA Lea,female,10.6,2368.0,4.476351351351352,20,4,0.808608695652174,0.0,0.0,1,13.263157894736842
JOHNSON Haley,female,76.6,16046.599999999999,4.773596899031571,155,51,0.7730420168067228,0.0,23.0,8,10.576923076923077
JONSSON Jenny,female,83.0,18041.8,4.600427895221098,170,21,0.8278032786885247,0.0,22.0,9,10.148148148148149
JUSKANE Zanna,female,11.5,2557.7,4.496227079016304,20,10,0.7955652173913045,0.0,0.0,2,12.6
KAISHEVA Uliana,female,73.3,14311.500000000002,5.121755231806588,140,22,0.8171724137931035,0.0,102.0,7,14.16
KALINA Nastassia,female,21.95,4618.1,4.753036963253286,40,13,0.7978333333333334,0.0,0.0,2,12.6
KALINOVA Lubomira,female,21.95,4852.4,4.523534745692853,40,13,0.7978333333333334,0.0,0.0,2,12.6
KALKENBERG Emilie Aagheim,female,31.349999999999998,5941.1,5.276800592482872,60,9,0.8139200000000001,0.0,35.0,3,13.666666666666666
KARAGIOZOVA Iva,female,104.64999999999999,23029.300000000003,4.544211070245295,235,40,0.8162370370370371,0.0,29.0,13,9.064516129032258
KARASEVYCH Nina,female,21.35,5194.200000000001,4.11035385622425,40,9,0.8061666666666667,0.0,0.0,2,12.6
KEITH Sandra,female,127.05,28474.399999999998,4.461902621301942,280,60,0.7999444444444445,0.0,1.0,15,7.666666666666667
KETTUNEN Outi,female,135.1,29885.799999999996,4.520541528083572,260,34,0.8313714285714287,0.0,59.0,18,8.63888888888889
KHRUSTALEVA Elena,female,199.9,41894.299999999996,4.771532165473586,380,66,0.8170243902439025,0.0,125.0,22,9.425
KHVOSTENKO Oksana,female,343.79999999999995,71124.99999999999,4.833743409490334,680,96,0.83925,0.0,643.0,44,14.435483870967742
KIELTYKA Beata,female,0.0,0.0,,25,6,0.8063655913978496,0.0,0.0,3,12.0
KINNUNEN Nastassia (DUBAREZAVA),female,346.40000000000003,70102.6,4.9413288522822265,640,176,0.7592222222222222,0.0,134.0,32,7.72
KISTANOVA Anna,female,107.05000000000001,20913.5,5.118703229971072,215,53,0.7907786259541986,0.0,10.0,12,8.733333333333333
KLEIN Janet,female,21.8,4582.3,4.757436221984593,40,12,0.7999166666666667,0.0,6.0,2,12.9
KLEMENCIC Polona,female,21.05,4405.6,4.778009805701833,40,7,0.8103333333333335,0.0,0.0,2,12.6
KLENOVSKA Nina (KADEVA),female,159.6,34924.8,4.569818581638263,310,66,0.7999466666666667,0.0,11.0,19,7.108108108108108
KLIMINA Darya (USANOVA),female,239.95000000000002,47087.5,5.095832227236528,440,133,0.7533636363636365,0.0,85.0,23,8.21951219512195
KNOLL Annika,female,10.75,2082.0,5.163304514889529,20,5,0.8064347826086957,0.0,0.0,1,13.263157894736842
KNOTTEN Karoline Of(cid:373)gstad,female,41.05,8094.8,5.0711567920146265,80,7,0.824923076923077,0.0,69.0,4,14.590909090909092
KOBAYASHI Miki,female,11.2,2253.8,4.969385038601473,20,8,0.799913043478261,0.0,0.0,1,13.263157894736842
KOBLAR Andreja,female,96.89999999999999,20422.6,4.744743568399714,200,56,0.7811875,0.0,20.0,11,9.379310344827585
KOCERGINA Natalja,female,143.05,29201.400000000005,4.898737731752586,260,87,0.7556571428571429,0.0,0.0,13,8.129032258064516
KOCHER Zina,female,523.45,105609.40000000002,4.956471677710506,1045,249,0.7757306397306397,0.0,602.0,57,11.386666666666667
KOLINCHIK Ludmilla,female,507.45000000000005,104528.20000000001,4.854670796971535,995,191,0.8083344947735192,0.0,360.0,55,8.383561643835616
KONDRATYEVA Anastassiya,female,10.75,2214.2,4.855026646192756,20,5,0.8064347826086957,0.0,0.0,1,13.263157894736842
KONG Yingchao,female,380.70000000000005,80584.29999999999,4.724245293438053,720,138,0.8085862068965518,1.0,505.0,38,13.517857142857142
KONRAD Sarah,female,11.8,2437.9,4.840231346650806,45,28,0.7689896907216496,0.0,0.0,4,11.454545454545455
KOROVINA Marina,female,31.95,6405.0,4.9882903981264635,60,13,0.8059200000000001,0.0,43.0,3,14.047619047619047
KOUKALOVA Gabriela (SOUKALOVA),female,437.69999999999993,82396.50000000001,5.31211883999927,840,118,0.84215625,11.0,1435.0,42,28.116666666666667
KOUKLEVA Galina,female,129.15,25350.3,5.094614264919942,240,61,0.7867058823529413,1.0,311.0,12,18.766666666666666
KRAUSE BESTE Jill,female,124.1,26839.199999999997,4.623833795344124,265,110,0.7247659574468086,0.0,23.0,16,8.088235294117647
KRISTEJN PUSKARCIKOVA Eva,female,387.1,74280.80000000002,5.211306286415869,740,114,0.8321694915254237,1.0,516.0,38,13.714285714285714
